customer_id,is_churned,final_churn_date,num_subscriptions,tenure_days,total_orders,total_revenue,post_churn_order_flag,total_tickets,tickets_last_30d_pre_churn,tickets_last_7d_pre_churn,has_post_churn_ticket_flag,total_events,events_last_30d_pre_churn,events_last_7d_pre_churn,post_churn_engagement_flag
1545,1,2022-09-09,3.0,616.0,20,485.49,1,1,0.0,0.0,0,170,0.0,0.0,0
2788,0,,1.0,2914268.0,49,5176.85,0,0,0.0,0.0,0,1,0.0,0.0,0
4363,0,,1.0,2914268.0,49,1735.58,0,2,0.0,0.0,0,1,0.0,0.0,0
5057,1,2024-07-01,2.0,1277.0,42,2044.07,1,5,0.0,0.0,0,2,0.0,0.0,0
5403,1,2021-09-28,1.0,270.0,10,170.4,1,5,0.0,0.0,0,1,0.0,0.0,0
7675,1,2024-03-24,3.0,1178.0,40,1809.0,1,2,0.0,0.0,0,94,0.0,0.0,0
12991,1,2024-05-16,3.0,1231.0,41,934.82,1,3,0.0,0.0,0,3,0.0,0.0,0
15092,1,2022-04-25,3.0,479.0,49,1439.63,0,5,0.0,0.0,1,3,0.0,0.0,1
15703,1,2022-06-29,3.0,544.0,42,2181.92,0,5,0.0,0.0,1,113,0.0,0.0,1
16342,1,2022-07-25,1.0,570.0,20,864.6,1,1,0.0,0.0,0,1,0.0,0.0,0
16812,1,2022-09-09,2.0,616.0,22,2096.74,1,5,0.0,0.0,0,252,0.0,0.0,0
19248,0,,1.0,2914268.0,5,2924.4,0,0,0.0,0.0,0,1,0.0,0.0,0
19393,1,2022-04-11,2.0,465.0,16,298.36,1,1,0.0,0.0,0,2,1.0,0.0,0
19884,1,2022-02-25,2.0,420.0,50,1728.45,0,1,0.0,0.0,0,502,0.0,0.0,1
21903,1,2023-02-01,3.0,761.0,18,1223.85,1,3,0.0,0.0,0,113,1.0,0.0,0
22545,1,2021-11-27,1.0,330.0,12,229.32,1,3,0.0,0.0,1,1,0.0,0.0,0
23224,1,2023-04-21,2.0,840.0,49,2904.09,0,2,0.0,0.0,0,2,0.0,0.0,1
24757,1,2022-08-16,2.0,592.0,21,857.51,1,2,0.0,0.0,0,47,0.0,0.0,0
3664,1,2023-04-22,1.0,840.0,29,547.52,1,3,0.0,0.0,0,1,0.0,0.0,0
4409,0,,1.0,2914267.0,4,1779.84,0,2,0.0,0.0,0,1,0.0,0.0,0
6691,1,2021-12-28,2.0,360.0,48,1472.53,0,5,0.0,0.0,1,2,0.0,0.0,1
8905,1,2023-06-01,3.0,880.0,49,2728.62,0,1,0.0,0.0,1,3,0.0,0.0,1
9839,1,2023-09-17,2.0,988.0,34,580.13,1,5,0.0,0.0,0,2,0.0,0.0,0
11602,1,2021-02-01,1.0,30.0,2,39.04,1,3,3.0,0.0,0,1,1.0,0.0,0
11913,1,2022-11-23,1.0,690.0,24,462.24,1,2,0.0,0.0,0,1,0.0,0.0,0
12215,0,,1.0,2914267.0,49,792.33,0,0,0.0,0.0,0,1,0.0,0.0,0
13142,1,2021-10-29,1.0,300.0,11,448.58,1,5,0.0,0.0,0,1,0.0,0.0,0
17095,0,,1.0,2914267.0,4,1942.56,0,1,0.0,0.0,0,1,0.0,0.0,0
17323,1,2022-03-28,2.0,450.0,19,2227.24,0,1,0.0,0.0,1,2,0.0,0.0,1
256,0,,1.0,2914266.0,49,4511.43,0,1,0.0,0.0,0,725,0.0,0.0,0
5282,0,,1.0,2914266.0,49,2378.46,0,1,0.0,0.0,0,1,0.0,0.0,0
5610,1,2024-11-13,1.0,1410.0,48,1819.68,1,4,1.0,0.0,0,1,0.0,0.0,0
5854,1,2024-12-13,1.0,1440.0,4,783.84,1,4,0.0,0.0,0,1,0.0,0.0,0
6478,1,2021-08-01,1.0,210.0,1,193.68,1,3,0.0,0.0,0,105,0.0,0.0,0
7589,1,2024-12-30,3.0,1457.0,48,1467.69,1,4,0.0,0.0,0,196,0.0,0.0,0
12125,0,,1.0,2914266.0,49,1990.38,0,0,0.0,0.0,0,1,0.0,0.0,0
12977,1,2022-12-24,1.0,720.0,2,400.32,1,2,0.0,0.0,0,1,0.0,0.0,0
15103,1,2024-09-02,3.0,1338.0,43,1129.48,1,2,0.0,0.0,0,212,0.0,0.0,0
16364,1,2022-07-27,1.0,570.0,20,995.4,1,5,1.0,0.0,0,272,0.0,0.0,0
16944,1,2022-07-27,2.0,570.0,48,1424.28,0,5,0.0,0.0,1,2,0.0,0.0,1
19808,1,2023-09-18,2.0,988.0,34,618.68,1,5,1.0,0.0,0,471,0.0,0.0,0
20426,1,2022-07-18,2.0,561.0,18,639.58,1,2,1.0,0.0,0,2,0.0,0.0,0
24473,1,2021-05-03,1.0,120.0,5,81.75,1,2,0.0,0.0,0,1,0.0,0.0,0
24830,1,2023-06-22,2.0,900.0,21,5256.36,0,4,0.0,0.0,0,2,0.0,0.0,1
3679,1,2022-07-21,2.0,563.0,20,375.56,1,2,0.0,0.0,0,2,0.0,0.0,0
5561,1,2022-12-25,2.0,720.0,27,800.83,0,5,0.0,0.0,1,2,0.0,0.0,1
6049,0,,1.0,2914265.0,49,4928.91,0,0,0.0,0.0,0,1,0.0,0.0,0
8577,1,2021-09-01,1.0,240.0,9,360.09,1,4,0.0,0.0,0,1,0.0,0.0,0
11759,1,2024-04-18,1.0,1200.0,4,882.72,1,3,0.0,0.0,0,591,0.0,0.0,0
12051,0,,1.0,2914265.0,4,4585.92,0,2,0.0,0.0,0,1,0.0,0.0,0
12107,1,2022-09-26,1.0,630.0,22,779.02,1,4,0.0,0.0,0,1,0.0,0.0,0
12204,0,,1.0,2914265.0,4,2338.56,0,1,0.0,0.0,0,1,0.0,0.0,0
15552,1,2021-09-01,1.0,240.0,9,161.37,1,5,0.0,0.0,0,1,0.0,0.0,0
17407,1,2021-12-30,1.0,360.0,13,240.5,1,1,0.0,0.0,0,1,0.0,0.0,0
